Org,PlayerName,name_norm,best_candidate_norm,best_score,second_score,accepted
ATH,Will Johnston,will johnston,will johnston,100.0,69.56521739130434,True
CHW,Seth Keener,seth keener,,64.0,63.63636363636363,False
CHW,Christian Oppor,christian oppor,christian oppor,100.0,66.66666666666667,True
PIT,Jaden Woods,jaden woods,,70.0,61.53846153846154,False
MIL,Tate Kuehner,tate kuehner,,66.66666666666667,66.66666666666667,False
ARI,Junior Ciprian,junior ciprian,,59.25925925925925,57.14285714285714,False
BAL,Ty Weatherly,ty weatherly,,64.0,58.33333333333333,False
BAL,Kiefer Lord,kiefer lord,,60.86956521739131,56.00000000000001,False
COL,Isaiah Coupet,isaiah coupet,,56.00000000000001,54.54545454545454,False
COL,Jack Mahoney,jack mahoney,,72.72727272727273,69.56521739130434,False
COL,Jack Mahoney,jack mahoney,,72.72727272727273,69.56521739130434,False
CLE,Matt Wilkinson,matt wilkinson,,66.66666666666667,64.28571428571428,False
CIN,Cody Adcock,cody adcock,,63.63636363636363,54.54545454545454,False
SFG,Cale Lansville,cale lansville,,64.28571428571428,64.0,False
MIA,Nigel Belgrave,nigel belgrave,,61.53846153846154,59.25925925925925,False
ATH,Kade Morris,kade morris,kade morris,100.0,81.81818181818181,True
TBR,Owen Wild,owen wild,,60.0,57.14285714285714,False
TOR,Juaron Watts-Brown,juaron watts brown,juaron watts brown,100.0,60.0,True
MIL,Brett Wichrowski,brett wichrowski,,59.25925925925925,58.06451612903225,False
MIL,Ryan Birchard,ryan birchard,,66.66666666666667,64.0,False
TOR,Kai Peterson,kai peterson,,81.4814814814815,66.66666666666667,False
ARI,Sam Knowlton,sam knowlton,,64.0,53.84615384615385,False
PIT,Khristian Curtis,khristian curtis,,68.96551724137932,58.06451612903225,False
BOS,Jojo Ingrassia,jojo ingrassia,,51.85185185185186,51.61290322580645,False
BAL,Michael Forret,mike forret,mike forret,100.0,63.63636363636363,True
NYY,Ben Shields,ben shields,,78.26086956521739,73.6842105263158,False
CHC,Nick Dean,nick dean,,72.72727272727273,63.63636363636363,False
BAL,Zach Fruit,zach fruit,,73.6842105263158,60.86956521739131,False
TBR,Drew Dowd,drew dowd,,57.14285714285714,55.55555555555556,False
LAD,Eriq Swan,eriq swan,eriq swan,100.0,60.0,True
TOR,Grant Rogers,grant rogers,,64.28571428571428,58.33333333333333,False
ATH,Steven Echavarria,steve echavarria,steve echavarria,100.0,74.28571428571429,True
NYY,Chris Kean,chris kean,,66.66666666666667,66.66666666666667,False
DET,Paul Wilson,paul wilson,,59.25925925925925,58.33333333333333,False
CIN,Adrian Herrera,adrian herrera,,66.66666666666667,61.53846153846154,False
LAD,Alex Makarewich,alex makarewich,,62.06896551724138,53.333333333333336,False
LAD,Wyatt Crowell,wyatt crowell,,69.56521739130434,56.00000000000001,False
STL,Branneli Franco,branneli franco,,66.66666666666667,62.06896551724138,False
MIN,Yoel Roque,yoel roque,,63.63636363636363,59.25925925925925,False
WSN,Jose Feliz,jose feliz,,69.56521739130434,66.66666666666667,False
MIA,Kifraidy Encarnacion,kifraidy encarnacion,,56.25,54.54545454545454,False
HOU,Anderson Brito,anderson brito,anderson brito,100.0,71.42857142857143,True
SDP,Luis Maracara,luis maracara,,56.00000000000001,56.00000000000001,False
COL,Gregory Sanchez,greg sanchez,,69.23076923076923,69.23076923076923,False
